nom,rfc,dit,noc,cbo,folder_name
19.0000,69.0000,3.0000,0.0000,8.0000,Gadgetbridge
2.0000,7.0000,1.0000,0.0000,0.0000,Gadgetbridge
3.0000,3.0000,1.0000,0.0000,0.0000,Gadgetbridge
3.0000,6.0000,2.0000,0.0000,3.0000,Gadgetbridge
0.0000,0.0000,0.0000,6.0000,0.0000,Gadgetbridge
7.0000,7.0000,0.0000,0.0000,0.0000,Gadgetbridge
5.0000,9.0000,1.0000,0.0000,1.0000,Gadgetbridge
31.0000,134.0000,3.0000,0.0000,11.0000,Gadgetbridge
5.0000,18.0000,0.0000,0.0000,2.0000,Gadgetbridge
3.0000,8.0000,1.0000,0.0000,0.0000,Gadgetbridge
3.0000,7.0000,1.0000,0.0000,0.0000,Gadgetbridge
3.0000,7.0000,1.0000,0.0000,0.0000,Gadgetbridge
11.0000,59.0000,3.0000,0.0000,8.0000,Gadgetbridge
1.0000,3.0000,0.0000,0.0000,1.0000,Gadgetbridge
0.0000,0.0000,1.0000,0.0000,0.0000,Gadgetbridge
9.0000,23.0000,3.0000,0.0000,2.0000,Gadgetbridge
0.0000,0.0000,1.0000,0.0000,0.0000,Gadgetbridge
3.0000,7.0000,1.0000,0.0000,0.0000,Gadgetbridge
6.0000,12.0000,3.0000,0.0000,0.0000,Gadgetbridge
3.0000,8.0000,4.0000,0.0000,2.0000,Gadgetbridge
3.0000,3.0000,4.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,1.0000,0.0000,0.0000,Gadgetbridge
5.0000,18.0000,1.0000,0.0000,0.0000,Gadgetbridge
3.0000,10.0000,1.0000,0.0000,1.0000,Gadgetbridge
3.0000,13.0000,1.0000,0.0000,3.0000,Gadgetbridge
8.0000,31.0000,1.0000,0.0000,2.0000,Gadgetbridge
0.0000,0.0000,1.0000,0.0000,0.0000,Gadgetbridge
8.0000,63.0000,1.0000,0.0000,12.0000,Gadgetbridge
0.0000,0.0000,1.0000,0.0000,0.0000,Gadgetbridge
