nom,rfc,dit,noc,cbo
6.0000,14.0000,1.0000,0.0000,0.0000
2.0000,4.0000,1.0000,0.0000,0.0000
1.0000,3.0000,1.0000,0.0000,1.0000
11.0000,69.0000,1.0000,0.0000,4.0000
9.0000,28.0000,1.0000,0.0000,0.0000
4.0000,4.0000,1.0000,0.0000,0.0000
2.0000,3.0000,1.0000,0.0000,1.0000
5.0000,9.0000,1.0000,0.0000,0.0000
2.0000,3.0000,2.0000,0.0000,0.0000
4.0000,13.0000,0.0000,0.0000,0.0000
2.0000,5.0000,0.0000,0.0000,3.0000
1.0000,4.0000,0.0000,0.0000,1.0000
1.0000,5.0000,0.0000,0.0000,1.0000
1.0000,3.0000,0.0000,0.0000,1.0000
42.0000,110.0000,1.0000,0.0000,4.0000
9.0000,15.0000,1.0000,0.0000,3.0000
2.0000,2.0000,0.0000,0.0000,0.0000
4.0000,8.0000,0.0000,0.0000,2.0000
13.0000,17.0000,1.0000,0.0000,1.0000
10.0000,10.0000,1.0000,1.0000,0.0000
67.0000,67.0000,0.0000,1.0000,0.0000
1.0000,1.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000
47.0000,51.0000,0.0000,2.0000,1.0000
15.0000,15.0000,0.0000,0.0000,0.0000
10.0000,11.0000,0.0000,0.0000,1.0000
1.0000,1.0000,0.0000,0.0000,0.0000
12.0000,13.0000,0.0000,0.0000,1.0000
7.0000,7.0000,0.0000,0.0000,0.0000
